doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
bao-ve-an-ninh,data/dich-vu-sinh-vien-utc/bao-ve-an-ninh.md,Phòng Bảo vệ: an ninh trật tự và quản lý ra vào trong trường,https://www.utc.edu.vn/gioi-thieu/phong-bao-ve,2026-09-19,not-stated,public-source
cong-tac-sinh-vien,data/dich-vu-sinh-vien-utc/cong-tac-sinh-vien.md,"Phòng Chăm sóc người học: công tác sinh viên, học bổng và chế độ chính sách",https://www.utc.edu.vn/gioi-thieu/phong-cong-tac-chinh-tri-va-sinh-vien,2026-09-19,not-stated,public-source
dao-tao-dai-hoc-hoc-vu,data/dich-vu-sinh-vien-utc/dao-tao-dai-hoc-hoc-vu.md,Phòng Đào tạo đại học: đăng ký học phần và các thủ tục học vụ,https://www.utc.edu.vn/gioi-thieu/phong-dao-tao-dai-hoc,2026-09-19,not-stated,public-source
dao-tao-truc-tuyen,data/dich-vu-sinh-vien-utc/dao-tao-truc-tuyen.md,Trung tâm Đào tạo trực tuyến UTC: hệ thống học trực tuyến,https://www.utc.edu.vn/gioi-thieu/trung-tam-dao-tao-truc-tuyen-utc,2026-09-19,not-stated,public-source
ke-hoach-tai-chinh-hoc-phi,data/dich-vu-sinh-vien-utc/ke-hoach-tai-chinh-hoc-phi.md,Phòng Kế hoạch - Tài chính: học phí và các khoản thu,https://www.utc.edu.vn/gioi-thieu/phong-ke-hoach-tai-chinh,2026-09-19,not-stated,public-source
ky-tuc-xa-quan-ly,data/dich-vu-sinh-vien-utc/ky-tuc-xa-quan-ly.md,Ban Quản lý Ký túc xá: chức năng và dịch vụ cho sinh viên nội trú,https://www.utc.edu.vn/gioi-thieu/ban-quan-ly-ky-tuc-xa,2026-09-19,not-stated,public-source
phap-che-kiem-soat,data/dich-vu-sinh-vien-utc/phap-che-kiem-soat.md,Phòng Pháp chế và Kiểm soát nội bộ: xây dựng và rà soát văn bản nội bộ,https://www.utc.edu.vn/gioi-thieu/phong-phap-che-va-kiem-soat-noi-bo,2026-09-19,not-stated,public-source
quan-ly-chat-luong,data/dich-vu-sinh-vien-utc/quan-ly-chat-luong.md,Phòng Quản lý chất lượng: khảo thí và đảm bảo chất lượng đào tạo,https://www.utc.edu.vn/gioi-thieu/phong-quan-ly-chat-luong,2026-09-19,not-stated,public-source
thu-vien-dich-vu,data/dich-vu-sinh-vien-utc/thu-vien-dich-vu.md,Trung tâm Thông tin - Thư viện: dịch vụ và đối tượng bạn đọc,https://www.utc.edu.vn/gioi-thieu/trung-tam-thong-tin-thu-vien,2026-09-19,not-stated,public-source
tram-y-te,data/dich-vu-sinh-vien-utc/tram-y-te.md,Trạm Y tế: chăm sóc sức khỏe và bảo hiểm y tế sinh viên,https://www.utc.edu.vn/gioi-thieu/tram-y-te,2026-09-19,not-stated,public-source
